sku,store_nbr,status,n_dias,modelo_elegido,wape,wape_arima,wape_prophet,wape_xgboost,wape_lstm,demanda_diaria,stock_seguridad,punto_reorden,eoq,sugerencia_compra,tiempo_seg
BEVERAGES,1,ok,579,XGBOOST,15.34,21.44,17.67,15.34,23.66,2074.16,2374.0,16894.0,7943.0,62225.0,23.5
BEVERAGES,2,ok,579,XGBOOST,13.58,19.94,15.66,13.58,20.85,3200.3,3429.0,25831.0,9866.0,96009.0,21.4
BEVERAGES,3,ok,579,XGBOOST,11.55,20.81,13.11,11.55,23.77,9186.35,10457.0,74761.0,16716.0,275591.0,20.4
GROCERY I,1,ok,579,XGBOOST,20.25,22.24,25.14,20.25,22.22,2552.19,3194.0,21059.0,8811.0,76566.0,21.3
GROCERY I,2,ok,579,ARIMA,15.6,15.6,84.41,60.25,31.66,4346.66,3610.0,34037.0,11498.0,130400.0,21.2
GROCERY I,3,ok,579,XGBOOST,10.86,18.32,16.86,10.86,17.96,8565.73,7735.0,67695.0,16141.0,256972.0,20.2
